name|type|description|prerequisites|prerequisite_feats|benefit|normal|special|source|teamwork|critical|grit|style|performance|racial|companion_familiar|race_name|note|goal|completion_benefit|multiples|suggested_traits
Hamatula Strike|Combat|You can catch your opponents on your weapon and hold them in place.|Improved Grapple, Strength 13, Base Attack Bonus +7.|Improved Grapple|Whenever you damage an opponent with a piercing weapon, you can immediately make a grapple check; success means the opponent is impaled on your weapon and you both gain the grappled condition. While the opponent is impaled, as an attack action you may make a grapple check on your turn at a -4 penalty to damage the opponent with your weapon, even if your weapon cannot normally be used in a grapple.|You can only attack with an unarmed strike, natural weapon, or light weapon against opponents you are grappling.||Cheliax Empire Of Devils|0|0|0|0|0|0|0|||||0|
Hamatulatsu|Combat|You have mastered a deadly fighting form inspired by the hideous attacks of the barbed devil.|Improved Unarmed Strike, Weapon Focus (unarmed strike).|Improved Unarmed Strike, Weapon Focus (unarmed strike)|Your unarmed attacks can deal either bludgeoning or piercing damage. You decide which type of damage you deal whenever you attack a foe, but you may only choose one type at a time. If you critically hit a foe with your unarmed strike while doing piercing damage, the additional pain caused by the strike causes the foe to become sickened for 1 round (or staggered for 1 round if the target is already sickened). Multiple critical hits in a round against a single foe do not increase the duration of the sickened or staggered condition.||Hamatulatsu may be selected as a substitute bonus feat at 6th level by a monk even if the monk does not otherwise meet the prerequisites. This fighting style is normally only taught to women of the Sisterhood of the Golden Erinyes.|Inner Sea World Guide|0|0|0|0|0|0|0|||||0|
Hammer the Gap|Combat|You repeatedly strike the same location, causing increasing amounts of damage.|Base attack bonus +6.||When you take a full-attack action, each consecutive hit against the same opponent deals extra damage equal to the number of previous consecutive hits you have made against that opponent this turn. This damage is multiplied on a critical hit.|||Ultimate Combat|0|0|0|0|0|0|0|||||0|
Hard-Headed|Combat|Your thick skull is almost a weapon unto itself.|Base attack bonus +1, dwarf.||You gain a +1 bonus on attack rolls and combat maneuver checks made using a helmet. You receive a +2 bonus on saves against spells and special abilities that cause you to become staggered or stunned.|||Advanced Race Guide|0|0|0|0|0|1|0|Dwarf||||0|
Harmonic Sage|General|Your thorough understanding of acoustics in artificial surroundings allows you to improve the power of your bardic performance.|Bardic performance class feature, Knowledge (engineering) 5 ranks.||While inside an artif icial structure, you can spend a free action to make a DC 15 Knowledge (engineering) check when you begin your bardic performance. Success on this check allows you to do one of the following. Self-Harmonize: By performing over the acoustic reverberations of your performance, you increase the DC of your bardic performance effects +1. Reverberation: You can choose to have the effect of your current bardic performance continue for 1 round after you cease maintaining it, regardless of why you cease maintaining it. You can still have no more than one bardic performance in effect at one time.|A bardic performance lasts only as long as you maintain it.||Ultimate Combat|0|0|0|0|0|0|0|||||0|
Harmonic Spell|General|You can weave bardic music effects into your spellcasting in such a way that your spellcasting and bardic performance become indistinguishable.|Bardic music ability.||Whenever you cast a spell while you are maintaining a bardic performance, you can maintain the bardic performance for that round without expending one of your rounds of performance for the day. In addition, you can switch from one bardic performance to another as a swift action when you cast a spell while maintaining a bardic performance.|||Inner Sea World Guide|0|0|0|0|0|0|0|||||0|
Harrowed|General|Numerous Harrow readings early in your life seem to have hit the mark precisely, increasing your belief that you are destined for a specific purpose in life.|||You get a +1 bonus on all Will saves made to resist enchantment effects. Once per day, you may draw a card from a Harrow deck you own. At any one time for the rest of that day, you may apply a +2 bonus on any d20 roll modified by the card's suit. For example, if you drew a card from the suit of Dexterity, you could apply this +2 bonus on an Initiative check, a Ref lex save, a Dexterity-based skill check, or a ranged attack roll. You may assign this +2 bonus after you make the roll, but you must do so before you know whether the roll was a success or not.|||Inner Sea World Guide|0|0|0|0|0|0|0|||||0|
Haunted Gnome|Combat|You use your gnome magic to take on an eerie illusory appearance.|Cha 13, gnome magic racial trait, Knowledge (arcana) 1 rank.||You add haunted fey aspect (page 230) to your list of gnome magic spell-like abilities, and you can use this spell-like ability twice per day.|||Ultimate Combat|0|0|0|0|0|0|0|||||0|
Haunted Gnome Assault|Combat|Discharging your disturbing glamer as you strike a telling blow, you haunt a foe with lingering fear.|Cha 13, gnome magic racial trait, Haunted Gnome, Knowledge (arcana) 3 ranks.|Haunted Gnome|You gain one use of your gnome magic that is independent of your gnome magic spell-like abilities. When you wish to cast a gnome magic spell-like ability for which you have no daily uses remaining, you can expend this independent use to do so. Further, while you are under the effect of haunted fey aspect (page 230), you can discharge that spell as a free action after you hit an opponent with a charge attack or score a critical hit against an opponent. If you do, that opponent becomes shaken for 1 round.|||Ultimate Combat|0|0|0|0|0|1|0|Gnome||||0|
Haunted Gnome Shroud|Combat|Your disturbing glamer expands to make your exact location hard to pinpoint.|Cha 13, gnome magic racial trait, Haunted Gnome, Haunted Gnome Assault, Knowledge (arcana) 6 ranks.|Haunted Gnome, Haunted Gnome Assault|You gain another independent use of your gnome magic like that which Haunted Gnome Assault grants. Further, while you are under the effect of haunted fey aspect, you also have concealment (20% miss chance) against an opponent until that opponent deals you damage.|||Ultimate Combat|0|0|0|0|0|1|0|Gnome||||0|
Heavenly Radiance|General|Your heavenly light can be used in a variety of ways.|Aasimar, daylight spell-like ability, sufficiently high level (see below).||You gain one additional use per day of daylight. Choose one spell from the table below; by expending a use of daylight, you may use this spell as a spell-like ability. To select a spell, you must meet the minimum character level for its listing in the table. The save DC for this spell is Charisma-based. Minimum Spell-Like Ability Character Level Flare burst (Advanced Player's Guide 223) 1st Wake of light (Advanced Player's Guide 254) 3rd Searing light 5th Wandering star motes 7th (Advanced Player's Guide 255) Sunbeam (one beam only) 9th||You may take this feat multiple times. Each time you select it, you gain an additional use of daylight and may select another spell from the table.|Advanced Race Guide|0|0|0|0|0|1|0|Aasimar||||1|
Heavy Armor Proficiency|Combat|You are skilled at wearing heavy armor.|Light Armor Proficiency, Medium Armor Proficiency.|Light Armor Proficiency, Medium Armor Proficiency|See Armor Proficiency, Light.|See Armor Proficiency, Light.|Fighters and paladins automatically have Heavy Armor Proficiency as a bonus feat. They need not select it.|PFRPG Core|0|0|0|0|0|0|0|||||0|
Heighten Spell|Metamagic|You can cast spells as if they were a higher level.|||A heightened spell has a higher spell level than normal (up to a maximum of 9th level). Unlike other metamagic feats, Heighten Spell actually increases the effective level of the spell that it modifies. All effects dependent on spell level (such as saving throw DCs and ability to penetrate a lesser globe of invulnerability) are calculated according to the heightened level. The heightened spell is as difficult to prepare and cast as a spell of its effective level.|||PFRPG Core|0|0|0|0|0|0|0|||||0|
Hellcat Pounce|Combat|You attack unsuspecting foes twice.|Hellcat Stealth, Skill Focus (Stealth), sneak attack +2d6.|Hellcat Stealth, Skill Focus (Stealth)|Whenever you attack and damage an opponent in the surprise round, you may immediately make a second attack against the same opponent using the same attack bonus. The target is not considered flat-footed against this second attack.||This ability only functions when carrying a light load or less.|Cheliax Empire Of Devils|0|0|0|0|0|0|0|||||0|
Hellcat Stealth|General|You are difficult to see in the light.|Skill Focus (Stealth), Stealth 6 ranks.|Skill Focus (Stealth)|You may make Stealth checks in normal or bright light even when observed, but at a -10 penalty.|You cannot make Stealth checks while observed.||Cheliax Empire Of Devils|0|0|0|0|0|0|0|||||0|
Helpless Prisoner|General|You can talk your way out of most restraints.|Bluff 5 ranks, Escape Artist 1 rank, gnome.||When you are restrained or imprisoned, you can make a Bluff check against any one creature within 30 feet in which you emphasize both your own harmlessness and the pain or inconvenience of your current condition. If the creature knows you are dangerous, it adds a +4 bonus to its Sense Motive check. If you win the check, the target does something intended to make you a little more comfortable-or at least shut you up-that gives you a +5 bonus on your next Escape Artist check.||At the GM's discretion, an especially evil or cruel creature may gain a +2 bonus to its Sense Motive check to resist this ability. If it succeeds, it does something to make your bindings even more secure and less comfortable, giving you a -5 penalty on all Escape Artist checks made in those particular bonds.|Gnomes Of Golarion|0|0|0|0|0|1|0|Gnome||||0|
Hermean Blood|General|You are the descendant of someone recruited to Hermea or the bastard result of a Hermean's illicit pairing with someone foreign to that land.|You may only gain this feat at 1st level.||Though you may not know it, the blood of greatness flows in your veins. Pick two skills that share the same associated ability score. Those skills are always considered class skills for you. It's possible that Hermean agents may come looking for you, either to evaluate you for an invitation or to cover up an embarrassing dalliance, as determined by the GM's whim.|||Inner Sea World Guide|0|0|0|0|0|0|0|||||0|
Hero's Display|Combat|With a dramatic flourish you display your weapons to the crowd. Onlookers are elated, and your enemies are demoralized.|Dazzling Display, Weapon Focus, and proficiency with the selected weapon.|Dazzling Display, Weapon Focus|When you spend a swift action to make a performance combat check, you present the weapon in which you have Weapon Focus in a triumphant display. You gain a +2 bonus on the performance combat check and make an Intimidate check to demoralize all foes within 30 feet who can see your display.|||Ultimate Combat|0|0|0|0|1|0|0|||||0|
Hero's Fortune|General|Even at the start of your career, it was clear that you had a chance at greatness, and your legend continues to grow with every adventure.|||You gain a hero point. The maximum number of hero points you can have at any one time is increased to 5.|You can have no more than 3 hero points at one time.|NPCs who take this feat receive 1 hero point and can have up to 3 (not 5).|Advanced Player's Guide|0|0|0|0|0|0|0|||||0|
Heroic Defiance|General|You struggle on when others would fall.|Diehard, Endurance, base Fortitude save +8.|Diehard, Endurance|Once per day as an immediate action you can delay the onset of one harmful condition or aff liction (such as panicked, paralyzed, stunned, and so on), including permanent and instantaneous conditions. Activating this feat delays the onset of the condition until the end of your next turn, after which time the condition takes its normal effect. This feat has no effect on hit point damage or ability damage.|||Advanced Player's Guide|0|0|0|0|0|0|0|||||0|
Heroic Defiance|Mythic|You ignore harmful effects that would bring others down.|Heroic DefianceAPG.|Heroic Defiance|Once per day as an immediate action, you can attempt to negate the onset of one harmful condition or aff liction (such as panicked, paralyzed, stunned, and so on) that allowed a saving throw for its onset, not including permanent and instantaneous conditions. When you do so, attempt a Will saving throw with a bonus equal to your tier against the original DC of the effect. If you succeed, the condition is negated. If you fail, the onset is delayed until the end of your next turn, after which it takes its normal effect. This feat has no effect on hit point damage or ability damage. This effect is separate from the use of non-mythic Heroic Defiance.|||Mythic Adventures|0|0|0|0|0|0|0|||||0|
Heroic Recovery|General|You can throw off the effects of crippling conditions.|Diehard, Endurance, base Fortitude save +4.|Diehard, Endurance|Once per day as a standard action you may attempt a new saving throw against a harmful condition or aff liction requiring a Fortitude save that is affecting you. If this save against the aff liction fails, there is no additional effect, but a successful save counts toward curing an aff liction such as poison or disease. You cannot use this feat to recover from instantaneous effects, effects that do not allow a saving throw, or effects that do not require a Fortitude save.|||Advanced Player's Guide|0|0|0|0|0|0|0|||||0|
Heroic Recovery|Mythic|You can shrug off the effects of harmful conditions after they've taken effect.|Heroic RecoveryAPG.|Heroic Recovery|As a swift action, you can expend one use of mythic power to use Heroic Recovery additional times. Whenever you do, add your tier to the result of the Fortitude save.|||Mythic Adventures|0|0|0|0|0|0|0|||||0|
Heroic Will|General|Your indomitable will breaks free from mental shackles.|Iron Will, base Will save +4, human.|Iron Will|Once per day as a standard action, you may attempt a new saving throw against a harmful condition requiring a Will save that is affecting you. If you are dominated, controlled, or cannot take an action because of the effect against which you are trying to make a new saving throw, you can make this saving throw at the start of the turn as no action, but on a success, your turn ends. You cannot use this feat to remove instantaneous effects, effects that do not require a Will save, or effects that do not allow a saving throw.|||Advanced Race Guide|0|0|0|0|0|1|0|Human||||0|
Hex Strike|Combat|Chanting and cursing, you put a hex on your enemy as part of your unarmed strike.|Hex class feature, Improved Unarmed Strike.|Improved Unarmed Strike|When you gain this feat, choose one hex that you can use to affect no more than one opponent. If you make a successful unarmed strike against an opponent, in addition to dealing your unarmed strike damage, you can use a swift action to deliver the effects of the chosen hex to that opponent. Doing so does not provoke attacks of opportunity.||You can take this feat multiple times. Each time you take it, you apply it to a different qualifying hex.|Ultimate Combat|0|0|0|0|0|0|0|||||1|
Hobgoblin Discipline|General|The presence of other hobgoblins bolsters your resolve.|Base attack bonus +1, hobgoblin.||While you are within 30 feet of at least two other hobgoblins, you gain a +1 morale bonus on saving throws.|||Advanced Race Guide|0|0|0|0|0|1|0|Hobgoblin||||0|
Hold the Blade|Combat|You can take your opponent's weapon after being stabbed in the back.|Improved Disarm, base attack bonus +10.|Improved Disarm|Whenever an enemy deals damage to you with a melee weapon as part of a flanking attack or sneak attack, you can make a combat maneuver check to disarm against that opponent as an immediate action. You must have at least one hand free when you use this feat. When you use this feat, you take a -4 penalty to your AC until your next turn. You can only use this feat once per round.|||Dragon Empires Primer|0|0|0|0|0|0|0|||||0|
Horde Charge|General|When you charge with an ally, you are more deadly.|Base attack bonus +1, half-orc or orc.||When charging during the same round as an ally with this feat, you gain a +2 bonus on attack and damage rolls in addition to the normal bonus for charging. If you can make multiple attacks on a charge, this bonus only applies to the first attack.|||Advanced Race Guide|1|0|0|0|0|1|0|Half-Orc,Orc||||0|
Horn Of The Criosphinx|Combat|You end your charge in a devastating two-handed attack.|Base attack bonus +6 or monk level 6th.||Whenever you make a successful charge attack while wielding a two-handed weapon in both hands, add two times your Strength bonus to the damage roll.|A character wielding a two-handed weapon adds 1-1/2 times her Strength bonus to damage rolls.|A monk can use this feat as long as he is wielding a two-handed weapon or both his hands are empty.|People Of The Sands|0|0|0|0|0|0|0|||||0|
Horse Master|Combat|You blend horsemanship skills from disparate traditions into a seamless mounted combat technique.|Expert trainer class feature (Advanced Player's Guide 33), Ride 6 ranks.||Use your character level to determine your effective druid level for determining the powers and abilities of your mount.|You use your cavalier level to determine your effective druid level for determining the powers and abilities of your mount.||Ultimate Combat|0|0|0|0|0|0|0|||||0|
Hover|Monster|This creature can hover in place with ease and can kick up clouds of dust and debris.|Fly speed.||A creature with this feat can halt its movement while flying, allowing it to hover without needing to make a Fly skill check. If a creature of size Large or larger with this feat hovers within 20 feet of the ground in an area with lots of loose debris, the draft from its wings creates a hemispherical cloud with a radius of 60 feet. The winds generated can snuff torches, small campfires, exposed lanterns, and other small, open flames of non-magical origin. Clear vision within the cloud is limited to 10 feet. Creatures have concealment at 15 to 20 feet (20% miss chance). At 25 feet or more, creatures have total concealment (50% miss chance, and opponents cannot use sight to locate the creature).|Without this feat, a creature must make a Fly skill check to hover and the creature does not create a cloud of debris while hovering.||Bestiary|0|0|0|0|0|0|0|||||0|
Human Spirit|General|Your blood burns with the passion and unyielding quest for self-improvement displayed so prominently by your human relatives.|Half-elf.||You receive 1 bonus skill rank. Whenever you gain another Hit Die, you gain an additional skill rank. You cannot gain more than four skill ranks in this way.||You can only take this feat at 1st level. If you take this feat, you cannot take the Elven Spirit feat.|Advanced Race Guide|0|0|0|0|0|1|0|Half-Elf||||0|
Huntmaster|General|You are an expert trainer of horses, hounds, falcons, or hunting cats.|Handle Animal 1 rank; either the animal companion, divine bond (mount), or mount class feature; human.||If you have the animal companion class feature, pick one of the following types of animal companions that this feat affects: bird, dog, small cat, or horse. If you have the divine bond (mount) or mount class feature, this feat always affects horses. You gain a +2 bonus on Handle Animal and Knowledge (nature) checks with creatures of that type of animal. Furthermore, you are treated as one level higher when determining the abilities of your animal companion or mount, as long as it is of the chosen type.|||Advanced Race Guide|0|0|0|0|0|1|0|Human||||0|
Hydraulic Maneuver|General|You can use your hydraulic push to disarm or trip.|Hydraulic push spell-like ability, undine.||You may use hydraulic push to attempt a bull rush, disarm, dirty trick (blind or dazzle, see Advanced Player's Guide), or trip combat maneuver. Each time you use hydraulic push, you must decide which of the allowed combat maneuvers you want to perform. You may use this feat with your hydraulic push racial spell-like ability, your class-granted use of hydraulic push, or any hydraulic push spells you cast, but not with magic items or other external sources that use that spell.|Hydraulic push can only be used to make a bull rush combat maneuver.||Advanced Race Guide|0|0|0|0|0|1|0|Undine||||0|
Hymn Singer|General|Your music is infused with your faith.|Bardic performance, good alignment, worshiper of a good deity.||When using bardic performance, you may choose to play, recite, or sing a religious song or piece of scripture of your faith. Each round of bardic performance you spend in this way, you count as presenting a holy symbol, chanting prayers, or ringing a hand bell for the purpose of keeping vampires at bay.|||Blood Of The Night|0|0|0|0|0|0|0|||||0|
Iconoclast|Combat|You know how to turn a holy symbol into a weapon against her followers.|Divine Defiance, Improved Sunder, Power Attack, Intimidate 3 ranks.|Divine Defiance, Improved Sunder, Power Attack|When you succeed at a sunder combat maneuver against a holy or unholy symbol, you can attempt an Intimidate check to demoralize as a free action. This demoralization affects all followers of the deity or philosophy whose symbol you sundered who saw you sunder it and are within 30 feet. If you destroyed the symbol, you gain a +5 bonus on your Intimidate check. You can use this feat when sundering any physical holy symbol-it doesn't have to be the hand-held variety commonly used by clerics and other divine spellcasters.|||Faiths & Philosophies|0|0|0|0|0|0|0|||||0|
Impact Critical Shot|Combat|With a series of ranged attacks, you bring your foes to their knees or force them to move.|Dex 13, Point-Blank Shot, base attack bonus +9.|Point-Blank Shot|Whenever you score a critical hit with a ranged attack, in addition to the normal damage your attack deals, if your confirmation roll exceeds your opponent's CMD, you can push your opponent back as if from the bull rush combat maneuver or knock that target prone as if from a trip combat maneuver. If you choose to bull rush, you cannot move with the target. Your maneuver does not provoke an attack of opportunity.|You must perform a bull rush combat maneuver to bull rush an opponent, and you must perform a trip combat maneuver to trip an opponent.||Ultimate Combat|0|1|0|0|0|0|0|||||0|
Impaling Critical|Combat|Your critical hits can skewer your foes.|Critical Focus, Weapon Specialization with selected piercing melee weapon, base attack bonus +11.|Critical Focus, Weapon Specialization|Whenever you score a critical hit with the selected piercing melee weapon, you can impale your opponent on your weapon. While your opponent is impaled in this way, each time he starts his turn, you deal damage equal to your weapon's damage dice plus the extra damage dice from your weapon's properties. As an immediate action, you can pull your weapon out of your opponent. If your opponent is ever outside your reach, you must spend a free action to let go of your weapon or pull it out of him. Your opponent can also spend a move action to pull your weapon out. When the weapon comes out, your opponent takes damage as if starting his turn impaled. While you impale your opponent with your weapon, you cannot use it to attack, and you must hold on to it.|||Ultimate Combat|0|1|0|0|0|0|0|||||0|
Implant Bomb|General|You can attach a bomb to a creature that explodes when the creature dies or after 24 hours.|Heal 5 ranks, delayed bomb alchemist discovery.||You may implant a bomb in a willing or helpless creature (a mindless creature under your control, such as a zombie, counts as willing for this purpose). This takes 1 hour and expends 1 use of your bomb ability for the day. When the implanted creature dies or is destroyed, the bomb detonates in the creature's square as if it were a delayed bomb set by you (though you can set the bomb's damage to less than your normal bomb damage). You can use any bomb-affecting discoveries on this implanted bomb (acid bomb, frost bomb, smoke bomb, and so on) as normal. The bomb automatically detonates 24 hours after you implant it in the creature. If you expend 150 gp worth of alchemical reagents per die of the bomb's damage (for example, 750 gp for a 5d6 bomb), the bomb does not automatically detonate after 24 hours, and only detonates if the creature dies or is destroyed (24 hours after implantation, this bomb no longer counts toward your daily total). Implanting a bomb is as invasive as using the Heal skill to treat deadly wounds and leaves surgical scars unless the creature is healed by magic or abilities such as regeneration or fast healing. Some creatures (such as oozes, elementals, and creatures with the incorporeal quality) cannot have bombs implanted in them. Removing an implanted bomb requires a Heal check to treat deadly wounds, followed by a dispel magic spell or Disable Device check to neutralize the bomb (DC = 11 + alchemist's caster level).|||Ultimate Magic|0|0|0|0|0|0|0|||||0|
Improved Back to Back|General|After much practice, you and an ally have become adept at fighting in close proximity to one another.|Back to Back, Perception 5 ranks.|Back to Back|While you are adjacent to an ally who is flanked and also has this feat, you can spend a swift action to gain a +2 bonus to AC against all flankers until the start of your next turn.|||Ultimate Combat|1|0|0|0|0|0|0|||||0|
Improved Blind-Fight|Combat|Your keen senses guide your hand against hidden foes.|Perception 10 ranks, Blind-Fight.|Blind-Fight|Your melee attacks ignore the miss chance for less than total concealment. You may still reroll your miss chance percentile roll for total concealment. If you successfully pinpoint an invisible or hidden attacker within 30 feet, that attacker gets no advantages related to hitting you with ranged attacks. That is, you don't lose your Dexterity bonus to Armor Class, and the attacker doesn't get the usual +2 bonus for being invisible.||The Improved Blind-Fight feat is of no use against a character who is the subject of a blink spell.|Advanced Player's Guide|0|0|0|0|0|0|0|||||0|
Improved Bull Rush|Combat|You are skilled at pushing your foes around.|Str 13, Power Attack, base attack bonus +1.|Power Attack|You do not provoke an attack of opportunity when performing a bull rush combat maneuver. In addition, you receive a +2 bonus on checks made to bull rush a foe. You also receive a +2 bonus to your Combat Maneuver Defense whenever an opponent tries to bull rush you.|You provoke an attack of opportunity when performing a bull rush combat maneuver.||PFRPG Core|0|0|0|0|0|0|0|||||0|
Improved Bull Rush|Mythic|You push foes around with amazing ease.|Improved Bull Rush.|Improved Bull Rush|You gain a bonus equal to half your tier on checks to bull rush, and to your CMD when an opponent bull rushes you. These bonuses stack with those granted by non-mythic Improved Bull Rush. Furthermore, you can make an attack of opportunity against any creature that attempts to bull rush you, unless it also has this feat.|||Mythic Adventures|0|0|0|0|0|0|0|||||0|
Improved Channel|General|Your channeled energy is harder to resist.|Channel energy class feature.||Add 2 to the DC of saving throws made to resist the effects of your channel energy ability.|||PFRPG Core|0|0|0|0|0|0|0|||||0|
Improved Channel|Mythic|As a divine conduit for energy, you're unmatched.|Improved Channel.|Improved Channel|Non-mythic creatures that take damage from your channel energy must roll their saving throws twice and take the lower result.|||Mythic Adventures|0|0|0|0|0|0|0|||||0|
Improved Channel Force|General|You move your enemies within a beam of righteous energy.|Channel Force, aasimar, channel energy 4d6.|Channel Force|When using Channel Force, you can affect all creatures in a 60-foot line or a 30-foot cone-shaped burst. You must choose to either push or pull all creatures within the affected area that fail their saves.|||Advanced Race Guide|0|0|0|0|0|1|0|Aasimar||||0|
Improved Charging Hurler|Combat|Every muscle in your body adds its force to your thrown weapons.|Charging Hurler, Point-Blank Shot.|Charging Hurler, Point-Blank Shot|When you use Charging Hurler, your target can be at any range up to your weapon's maximum range. If your target is within 30 feet, you gain a +2 bonus on damage rolls.|Using Charging Hurler requires you to end your movement within 30 feet of your opponent.||Ultimate Combat|0|0|0|0|0|0|0|||||0|
Improved Cleaving Finish|Combat|You can cut down many opponents in a single strike.|Str 13, Cleave, Cleaving Finish, Great Cleave, Power Attack, base attack bonus +6.|Cleave, Cleaving Finish, Great Cleave, Power Attack|You can use Cleaving Finish any number of times per round.|||Ultimate Combat|0|0|0|0|0|0|0|||||0|
Improved Counterspell|General|You are skilled at countering the spells of others using similar spells.|||When counterspelling, you may use a spell of the same school that is one or more spell levels higher than the target spell.|Without this feat, you may counter a spell only with the same spell or with a spell specifically designated as countering the target spell.||PFRPG Core|0|0|0|0|0|0|0|||||0|
Improved Counterspell|Mythic|Your innate understanding of magical mechanics allows you to unravel spells with pure magical energy.|Improved Counterspell.|Improved Counterspell|When counterspelling, you can use a spell of the same school that is the same or higher spell level as the target spell.|||Mythic Adventures|0|0|0|0|0|0|0|||||0|
Improved Critical|Combat|Attacks made with your chosen weapon are quite deadly.|Proficient with weapon, base attack bonus +8.||When using the weapon you selected, your threat range is doubled.||You can gain Improved Critical multiple times. The effects do not stack. Each time you take the feat, it applies to a new type of weapon. This effect doesn't stack with any other effect that expands the threat range of a weapon.|PFRPG Core|0|0|0|0|0|0|0|||||1|
Improved Critical|Mythic|Your critical strikes with your chosen weapon are deadlier than most.|Improved Critical, base attack bonus +8.|Improved Critical|Your critical multiplier with your chosen weapon is increased by 1 (to a maximum of x6).||You can gain this feat multiple times. The effects do not stack. Each time you take this feat, it applies to a different non-mythic Improved Critical feat.|Mythic Adventures|0|0|0|0|0|0|0|||||1|
Improved Dark Sight|General|With further modification, your eyes see clearly in not only normal darkness, but in magical darkness as well.|Dark Sight, Gloom Sight, fetchling.|Dark Sight, Gloom Sight|You gain the see in darkness ability (Bestiary 2 301) and lose the light sensitivity weakness, but gain the light blindness weakness (Bestiary 301).|||Advanced Race Guide|0|0|0|0|0|1|0|Fetchling||||0|
Improved Day Job|General|You learned the importance of an honest day's work while training as an initiate of the Pathf inder Society.|Ability to attempt Day Job checks (see the Guide to Pathfinder Society Organized Play).||You gain a +3 bonus on Day Job checks using one skill you choose when you take this feat. This bonus stacks with other feats that grant a bonus to the chosen skill, including Skill Focus.|||Pathfinder Society Primer|0|0|0|0|0|0|0|||||0|
Improved Death-Stealing|General|Your death-stealing gaze creates more powerful undead.|Nabasu, Ability Focus (death-stealing gaze)||When you would normally create a ghoul with your death-stealing gaze, you instead create a ghast. As a free action, you may also spend a number of growth points in order to even further augment your new undead minion as it is created. If you spend 1 growth point, you create a wight instead of a ghast. If you spend 3 growth points, you create a wraith instead of a ghast. And if you spend 5 growth points, you transform the target into a juju zombie instead of a ghast. Note that spending growth in this manner reduces your statistics as appropriate.|||Demons Revisited|0|0|0|0|0|1|0|Nabasu||||0|
Improved Devastating Strike|Combat|The fury and power channeled through your attack is enough to kill a lesser being outright.|Devastating Strike, Vital Strike, base attack bonus +13.|Devastating Strike, Vital Strike|Whenever you use Vital Strike, Improved Vital Strike, or Greater Vital Strike, you gain a bonus on attack rolls to confirm a critical hit equal to the bonus on damage rolls you gain from Devastating Strike.|||Ultimate Combat|0|0|0|0|0|0|0|||||0|
Improved Dirty Trick|Combat|You are skilled at pulling dirty tricks on your foes.|Int 13, Combat Expertise.|Combat Expertise|You do not provoke an attack of opportunity when performing a dirty trick combat maneuver. In addition, you receive a +2 bonus on checks made to attempt a dirty trick. You also receive a +2 bonus to your Combat Maneuver Defense when an opponent tries a dirty trick on you.|You provoke an attack of opportunity when performing a dirty trick combat maneuver.||Advanced Player's Guide|0|0|0|0|0|0|0|||||0|
Improved Dirty Trick|Mythic|You're a paragon of down-and-dirty fighting.|Improved Dirty TrickAPG.|Improved Dirty Trick|You gain a bonus equal to half your tier on checks to attempt a dirty trick, and to your CMD when an opponent attempts to perform a dirty trick on you. These bonuses stack with those granted by Improved Dirty Trick. Furthermore, you can make an attack of opportunity against any creature that attempts a dirty trick maneuver against you, unless it also has this feat.|||Mythic Adventures|0|0|0|0|0|0|0|||||0|
Improved Disarm|Combat|You are skilled at knocking weapons from a foe's grasp.|Int 13, Combat Expertise.|Combat Expertise|You do not provoke an attack of opportunity when performing a disarm combat maneuver. In addition, you receive a +2 bonus on checks made to disarm a foe. You also receive a +2 bonus to your Combat Maneuver Defense whenever an opponent tries to disarm you.|You provoke an attack of opportunity when performing a disarm combat maneuver.||PFRPG Core|0|0|0|0|0|0|0|||||0|
Improved Disarm|Mythic|You're expert at knocking your enemies' weapons away.|Improved Disarm.|Improved Disarm|You gain a bonus equal to half your tier on checks to disarm, and to your CMD when an opponent tries to disarm you. These bonuses stack with those granted by Improved Disarm. Furthermore, you can make an attack of opportunity against any creature that attempts to disarm you, unless it also has this feat.|||Mythic Adventures|0|0|0|0|0|0|0|||||0|
Improved Drag|Combat|You are skilled at dragging foes around the battlefield.|Str 13, Power Attack, base attack bonus +1.|Power Attack|You do not provoke an attack of opportunity when performing a drag combat maneuver. In addition, you receive a +2 bonus on checks made to drag a foe. You also receive a +2 bonus to your Combat Maneuver Defense when an opponent tries to drag you.|You provoke an attack of opportunity when performing a drag combat maneuver.||Advanced Player's Guide|0|0|0|0|0|0|0|||||0|
Improved Drag|Mythic|You pull your enemies around the battlefield with great ease.|Improved DragAPG.|Improved Drag|You gain a bonus equal to half your tier on checks to attempt a drag combat maneuver, and to your CMD when an opponent attempts a drag combat maneuver against you. These bonuses stack with those granted by Improved Drag. Furthermore, you can make an attack of opportunity against any creature that attempts a drag maneuver against you, unless it also has this feat.|||Mythic Adventures|0|0|0|0|0|0|0|||||0|
Improved Drow Nobility|General|Your magical heritage is more potent than that of your peers, as demonstrated by your superior spell-like abilities.|Cha 13, Drow Nobility, able to use drow spell-like abilities, drow.|Drow Nobility|You may use your dancing lights, faerie fire, feather fall, and levitate spell-like abilities twice per day. Your darkness spell-like ability instead becomes deeper darkness, which you may use twice per day.|||Advanced Race Guide|0|0|0|0|0|1|0|Drow||||0|
