name|type|category|requirement_race|requirement_subrace|requirement_class|requirement_alignment|requirement_other|requirement_faith|requirement_place|description|description_list|source
Influence|Basic|Social||||||||Choose one of the following skills: Diplomacy, Intimidate, or Sense Motive. You gain a +1 trait bonus on that skill, and it is always a class skill for you.||
Inheritor|Race||Gillman|||||||Whenever you use the aid another action to aid an adjacent ally, increase the bonus you grant your ally by 1. This is a trait bonus.||
Inheritor|Race||Human|||||||You gain a +1 trait bonus on Knowledge (history) checks and a +2 trait bonus on Appraise checks related to objects of ancient origin or made to identify ioun stones.||
Inner Beauty|Religion|||||||Beauty, art, love, music||You gain a +4 trait bonus to a single Bluff, Craft, Diplomacy, or Perform skill check once per day. You can choose whether to use it after making the check.||
Innocent|Race||Aasimar|||||||When you make a Bluff check to tell a lie, your target always wants to believe you, granting you the standard +5 bonus on your Bluff check. This bonus only applies if the lie you tell is either believable or unlikely.||
Inoculated|Religion|||||||Gluttony, Disease, Undeath||You gain a +2 trait bonus on saving throws against disease effects.||
Inquisitive Archaeologist|Campaign|Mummy's Mask||||||||You gain a +2 trait bonus on Knowledge (engineering) checks, and that skill is always a class skill for you. In addition, you gain a +2 trait bonus on Perception checks to find concealed or secret doors in ancient structures.||
Insider Knowledge|Faction|||||||||Choose either Diplomacy or Knowledge (local). You gain a +1 trait bonus on all related checks, and the chosen skill is always a class skill for you.||
Insistent Benefactor|Basic|Magic||||||||Whenever you cast a harmless spell, you gain a +2 trait bonus on caster level checks to overcome spell resistance, and the saving throw DC of the spell (if any) is increased by 2.||
Inspired|Basic|Faith||||||||Once per day as a free action, roll twice and take the better result on a skill check or ability check.||
Inspired by Greatness|Campaign|Carrion Crown||||||||Choose one spell you can cast. From now on, you always cast this spell at +1 caster level.||
Inspiring|Basic|Combat||||||||As a standard action, you can speak words of encouragement to grant a +1 morale bonus to an ally within 30 feet who can see and hear you. The ally can use this bonus on any d20 roll of her choice before the start of your next turn. You cannot use this trait to grant a bonus to yourself or to an ally who has already benefited from this trait within the last 24 hours.||
Inspiring Rush|Basic|Combat||||||||Once per day when you make a charge attack, you gain a +1 trait bonus on both your attack and damage rolls, as do any allies who make a charge attack before the beginning of your next turn.||
Inspiring Speaker|Regional|||||||||You gain a +1 trait bonus on Bluff and Diplomacy checks when addressing crowds of 10 people or more.||
Instant Friendship (Suli)|Race||Suli|||||||Once per day, you can treat an Intimidate roll to improve a creature's attitude toward you as if you had used Diplomacy instead. You must use this ability after making the check but before the GM has revealed the result. If you continue threatening the target after making the check, the check automatically fails.||Pathfinder Player Companion: Blood of the Elements
Instigator of Rebellion|Regional|||||||||You gain a +1 trait bonus on Diplomacy and Intimidate checks.||
Intense Artist|Religion|||||||Beauty, art, love, music||You gain a +1 trait bonus on two Perform skills of your choice, and Perform is always a class skill for you.||
Into Enemy Territory|Campaign|Second Darkness||||||||Pick one of the three categories of saving throw. You gain a +1 trait bonus on all saving throws of that type.||
Intrepid Delver|Regional|||||||||You gain a +2 trait bonus on saving throws against fear effects.||
Inured to Death|Basic|Magic||||||||You gain a +2 trait bonus on saving throws against death effects.||
Inured to Disease|Race||Wererat-kin|||||||You gain a +2 trait bonus on Fortitude saving throws against diseases.||
Iron Control|Race||Half-Orc||||Raised by humans|||Whenever you're confused and roll to determine behavior in a given round, subtract 10 from the result.||
Iron Grip|Religion|||||||Strength, battle, weapons||You gain a +2 trait bonus to your CMD vs. disarm maneuvers.||
Iron Liver|Equipment|||||||||You gain a +2 trait bonus on Fortitude saving throws against poison and drugs, and a +4 trait bonus on Fortitude saves to avoid the effects of alcohol.||
Iron Lungs|Regional||||||||Marshlands|You can hold your breath for twice as long and gain a +2 trait bonus on saving throws against the effects of inhaled poisons.||
Iron Mind|Regional|||||||||You gain a +2 trait bonus on saving throws against spells and effects that would reduce your Intelligence score or cause you to forget something.||
Irrepressible|Basic|Faith||||||||You can use your Charisma modifier in place of your Wisdom modifier when attempting Will saving throws against charm and compulsion effects.||
Isger Fixer|Regional|||||||||Once per day, you can tinker with a broken object to allow anyone who uses it to ignore the penalties for its broken condition for 24 hours (this does not affect the object’s hit points). At the end of this time, it regains the broken condition (but you can use this trait on it over and over again).||
Isgeri Orphan|Regional|||||||||You gain a +1 trait bonus on Fortitude saves.||
Issian|Campaign|Kingmaker||||||||You gain a +1 trait bonus on all Will saves made to resist mind-affecting effects.||
Issian Noble|Regional|||||||||You gain a +1 trait bonus on Knowledge (nobility) and Sense Motive checks.||
Jenivere Crew|Campaign|Serpent's Skull||||||||Pick one of the following skills: Acrobatics, Climb, Knowledge (nature), Knowledge (geography), Swim, or Survival. You gain a +1 trait bonus on that skill, and that skill is always treated as a class skill for you.||
Jungle Diplomat|Regional||||||||Jungle|You gain a +1 trait bonus on Diplomacy and Sense Motive checks.||
Jungle Fighter|Basic|Combat||||||||Your speed may not be reduced to less than 10 feet by difficult terrain in jungles (meaning you may take a 5-foot step in difficult terrain and not provoke an attack of opportunity).||
Jungle Guide|Regional|||||||||You gain a +1 trait bonus on Handle Animal checks, and a +1 trait bonus on Survival checks in jungle terrain. One of these skills is always a class skill for you.||
Jungle Resilience|Regional|||||||||You gain a +2 trait bonus on Fortitude saving throws against poison effects.||
Jungle Walker|Regional||||||||Jungle|You gain a +2 trait bonus on Survival checks in jungle terrain.||
Just Like New|Basic|Combat||||||||Your first attempt to remove the broken condition from your starting firearm and to upgrade it to a masterwork weapon costs 150 gp instead of 300 gp. In addition, when wielding a firearm that has the broken condition or is treated as if it had the broken condition, you take a –1 penalty on attack rolls made with it instead of the normal –2.||
Justiciar|Regional|||||||||You gain a +1 trait bonus on Diplomacy and Knowledge (local) checks to settle disputes or arbitrate laws. Once per day if you succeed at an Intimidate check to demoralize a foe who has repudiated or ignored a pronounced judgment you've made, you may choose to cause the creature to be sickened instead of shaken. The duration of the effect remains the same.||Champions of Balance
Kami Talker|Regional||||||||Forest|You gain a +2 trait bonus on Diplomacy and Intimidate checks made against outsiders that have the native subtype.||
Keen Appraiser|Basic|Magic||||||||You gain a +1 trait bonus on Appraise checks. In addition, you need only exceed the DC of an Appraise check by 2 in order to determine whether the item in question has magic properties (although success still does not grant knowledge of the magic item's abilities).||
Keeper of the Ancestral Scrolls|Race||Human|||||||You gain a +1 trait bonus on Knowledge (history), and Knowledge (nobility) checks, and one of these skills (your choice) is always a class skill for you.||
Keeper of the Veil|Regional|||||||||You gain a +1 competence bonus on Bluff and Disguise checks, and one of these skills (your choice) is always a class skill for you.||
Killer|Basic|Combat||||||||You gain a trait bonus to damage rolls equal to your weapon’s critical hit modifier when you score a successful critical hit with a weapon; this additional damage is added to the final total.||
Kin Bond|Basic|Magic||||||||Choose a sibling with whom to share this bond. Once per day when you fail a saving throw while your sibling is within 30 feet, you may reroll that saving throw using your sibling's saving throw modifier. If you and the sibling are twins or otherwise part of a multiple birth, you gain a +2 trait bonus on the rerolled saving throw. Your sibling must be willing to grant you the reroll. If you fail the saving throw, you and your sibling are dazed for 1 round.||
Kin Guardian|Basic|Combat||||||||When you use the aid another action to give a member of your family a bonus to AC, increase the bonus by 2. This increase is a trait bonus (and therefore doesn't stack with increases granted by other family members using this trait). This trait has no effect when using the aid another action to increase a family member's next attack roll.||
Know the Land|Religion|||||||Druids, nature||You gain a +1 trait bonus on Knowledge (nature) and Survival checks, and one of these skills becomes a class skill for you.||
Knowing the Enemy|Basic|Social||||||||You gain a +1 trait bonus on checks with the Knowledge skill corresponding to your first favored enemy choice, and that Knowledge skill is always a class skill for you.||
Knowledgeable Caster|Basic|Magic||||||||Once per day when you cast a divination spell, you can cast that spell as if your caster level were 1 level higher in the appropriate class. You also gain a +1 trait bonus on any Knowledge checks associated with your sorcerer bloodline, if any.||
Kobold Faith|Race||Kobold|||||||You gain a +2 trait bonus on Diplomacy checks when dealing with other kobolds. Additionally, if your deity grants the Artifice, Earth, or Trickery domain, then your kobold faith unlocks a corresponding subdomain: Trap, Radiation, or Ambush.||
Kobold Herbalist|Race||Kobold|Green-Scaled||||||Once per day, you can attempt a DC 20 Survival check instead of a Craft (alchemy) check to create a single dose of scent cloak without paying any cost for raw materials. Any scent cloak created using this method must be used within 24 hours, or it becomes inert.||
Kobold's Neighbor|Regional|||||||||You gain a +2 trait bonus to Perception checks to discover traps and a +1 trait bonus to Disable Device checks.||
Kuthite Caster|Religion|||||||Envy, pain, darkness, loss||You gain a +4 trait bonus on concentration checks when casting spells with the darkness, pain, or shadow descriptors.||
Kwanlai Believer|Regional|||||||||You gain a +2 trait bonus on concentration checks when casting divine spells.||
Kyonin Gatekeeper|Regional||Elf|||||||You gain a +1 trait bonus on Spellcraft checks to identify teleportation magic and a +1 trait bonus to caster level checks when casting teleportation spells. You know the proper commands to operate a particular elf gate (most likely an often used elf gate, but at the GM’s discretion it may be a less popular or out-of-the-way elf gate).||
Lair Snake|Regional||||||||Dragon's Lair|You gain a +1 trait bonus on Appraise checks, and your starting wealth increases by 200 gp.||
Lantern Spirit|Race||Aasimar|||||||You feel a strange sense of nostalgia whenever you use your continual flame spell-like ability, and can use it as a move action instead of a standard action.||
Lapsed Faith|Race||Elf|||||||Once per day you may cast stabilize, with the added benefit of healing 1 hit point, as a spell-like ability at caster level 1. The save DC is Wisdom-based. ||
Larger Than Life|Basic|Combat||||||||When you use the Intimidate skill on a creature while wielding a firearm, you are considered one size category larger than your actual size.||
Lastwall Cavalry Rider|Regional|||||||||You gain a +1 trait bonus on Ride checks, and Ride is always a class skill for you.||
Latent Psion|Race||Human|||||||You gain a +2 trait bonus on saving throws against mind-affecting effects.||
Law Enforcer|Basic|Social||||||||You receive a +2 bonus on Sense Motive checks to gain a hunch from social situations, and begin play with a pair of masterwork manacles.||
Left Behind|Regional|||||||||You gain a +1 trait bonus on Diplomacy and Gather Information checks when interacting with forlorn elves and non-elf races.||
Legacy of Sand|Race||Half-Orc|||||||You gain a +1 trait bonus on all Will saving throws.||
Legalistic Liberation|Regional||||||||Desert|You gain a +1 bonus on all Knowledge checks to find a legitimate way to avoid, negate, or escape an existing obligation.||
Lessons of Chaldira|Religion|||||||Mischief, battle||Once per day, when you fail a saving throw, you can reroll the saving throw. You must take the second result even if it is worse.||
Lettered|Race||Halfling|||||||Linguistics is always a class skill for you, and you gain a +1 trait bonus on Linguistics checks made for the purpose of deciphering writing in an unfamiliar language. You never draw a false conclusion if you fail your Linguistics check; instead, you simply realize you cannot make sense of the writing.||
Life of Toil|Basic|Social||||||||You gain a +1 trait bonus on Fortitude saves.||
Light Sleeper|Regional|||||||||You need to sleep only 4 hours to get a full night's rest (restoring 1 hit point per character level). You do not receive extra benefits for sleeping additional hours, and you must still rest for 24 hours to receive the benefits of complete bed rest.||Pathfinder Player Companion: Blood of the Elements
Lightning-Blessed|Race||Kobold|Blue-Scaled||||||You begin play with three vials of bottled lighting. These don't count against your starting character wealth.||
Lillend's Harp|Race||Aasimar|||||||You gain a +1 trait bonus on Perform (string) checks. This bonus increases to +2 when you make a Perform check as part of a bardic performance.||
Linebreaker|Regional|||||||||When charging, add 10 feet to your base speed.||
Lingshen's Finest|Regional|||||||||You gain a +1 trait bonus on all rolls to confirm critical hits.||
Linguistic Genius|Race||Dhampir|||||||You gain a +1 trait bonus on Linguistics checks, and learn to speak and read one additional language from your list of racial languages. Linguistics is always a class skill for you.||
Linked Surge|Basic|Magic||||||||Once per day, you may make a Strength- or Constitution-based ability check or skill check using you eidolon's ability score in place of your own. Your eidolon must be summoned and with 30 feet for you to use this trait.||
Liquid-Tongued|Race||Kobold|Blue-Scaled||||||In addition to speaking Draconic, you begin play with the ability to speak Aquan.||
Local Know-It-All|Regional|||||||||Choose a community that you've lived in for at least 5 years. You gain a +2 trait bonus on Knowledge (local) checks related to that community.||
Long Jumper|Regional|||||||||When using the Acrobatics skill to make a long jump, you treat the DC of the skill check as if the distance being jumped were 5 feet shorter than it actually is.||
Looking for Work|Campaign|Second Darkness||||||||Pick one of the following skills: Bluff, Craft (any), Diplomacy, Intimidate, Perform (any), Profession (gambler), or Perception. You gain a +1 trait bonus in that skill, and that skill is always considered a class skill for you.||
Loreseeker|Religion|||||||Runes, fate, duty, obedience, the reward of service||You gain a +2 trait bonus on Spellcraft checks made to identify magical items.||
Lost Nobility|Basic|Social||||||||You gain a +1 trait bonus on attack and damage rolls against government officials of your homeland.||
Lost Role Model|Regional||||||||Settlement Near A Famous Dungeon|You have a unique dungeon guide worth no more than 750 gp and with an accuracy modifier of no greater than +2.||
Love Lost|Campaign|Curse of the Crimson Throne||||||||Choose "parent" or "lover". If you choose "parent" you gain a +2 bonus on one of the following skills: Craft, Perform, or Profession. If you choose "lover" you gain a +2 bonus on Intimidate checks.||
Lover of the Law|Religion|||||||Cities, wealth, merchants, law||You gain a +1 trait bonus on saves vs. charm and compulsion spells, and may make a new save with an additional +1 trait bonus (for a total of +2) if directed to act against the law.||
Loyalty|Faction|||||||||You gain a +1 trait bonus on saving throws against enchantment spells and spell-like abilities||
Loyalty across Lifetimes|Basic|Faith||||||||Your eidolon treats its Constitution score as if it were 2 points higher for the purposes of determining when its negative hit point total sends it back to its home plane. In addition, your eidolon gains a +1 trait bonus on Will saving throws against enchantment spells and effects.||
Lucid Dreamer|Basic|Magic||||||||You receive a +1 trait bonus on Knowledge (planes) checks and a +2 trait bonus on Will saving throws against effects on your dreaming mind or subconscious, such as a night hag’s dream haunting ability, the nightmare spell, and illusions of the phantasm subschool.||
Lucky Turnabout|Regional|||||||||Whenever you succeed at a Reflex saving throw, you may draw a weapon as an immediate action, or a hidden weapon as a move action.||
Lunar Birth |Basic|Magic||||||||You gain a +1 trait bonus on saving throws against the spells and spell-like abilities cast by humans.||Pathfinder Player Companion: People of the Stars
Lycanthropic Bloodlust|Race||Werewolf-kin|||||||Once per day, when you deal damage to a foe with a natural attack, you may gain 1d6 temporary hit points as an immediate action. These temporary hit points last for 1 minute.||
Maestro of the Society|Basic|Social|||Bard||Society|||You may use bardic performance 3 additional rounds per day.||
Magic Crafter|Basic|Magic||||||||You gain a +1 trait bonus on Appraise checks and a +1 bonus on any Craft checks attempted while making magic items.||
Magic is Life|Religion|||||||Knowledge, magic||As long as you are under the effects of a spell, you gain a +2 trait bonus on saving throws against death effects. If you are reduced to negative hit points while you are under the effects of any spell, you automatically confirm stabilization checks to stop bleeding.||
Magical Flair|Basic|Magic||||||||Choose a school of magic. The Spellcraft DC to identify spells you cast from that school of magic increases by 2. Creatures that fail a Spellcraft check to identify your spell by 2 or less incorrectly identify the spell as another randomly selected spell of the same school and level.||
Magical Knack|Basic|Magic||||||||Pick a class when you gain this trait—your caster level in that class gains a +2 trait bonus as long as this bonus doesn’t increase your caster level higher than your current Hit Dice.||
Magical Lineage|Basic|Magic||||||||Pick one spell when you choose this trait. When you apply metamagic feats to this spell, treat its actual level as 1 lower for determining the spell’s final adjusted level.||
Magical Talent|Basic|Magic||||||||Choose a 0-level spell. You may cast that spell once per day as a spell-like ability. This spell-like ability is cast at your highest caster level gained; if you have no caster level, it functions at CL 1st. The spell-like ability’s save DC is Charisma-based.||
Making Good on Promises|Campaign|Carrion Crown||||||||You gain a +2 trait bonus on saving throws against fear effects.||
Malleable Magic|Basic|Magic||||||||Once per day as a swift action, you can lose a single 1st-, 2nd- or 3rd-level magus spell to regain 1 arcane pool point. You can't exceed the maximum number of arcane pool points in your arcane pool by using this trait.||
Mammoth Master|Regional|||||||||You gain a +4 trait bonus on Handle Animal checks related to large creatures such as mammoths, mastodons, woolly rhinoceroses, and other megafauna.||
Mana Wastes Survivalist|Regional|||||||||You gain a +1 trait bonus on Fortitude saves.||
Marid's Fury (Undine)|Race||Undine|||||||When you use your hydraulic push spell-like ability, it can extinguish magical fires as well as non-magical fires as long as you succeed at an opposed caster level check (the DC is equal to 11 + the magical fire's caster level).||Pathfinder Player Companion: Blood of the Elements
Marked by Unknown Forces|Basic|Social||||||||You may cast light three times per day as a spell-like ability, but this ability only targets the palm of your hand, and it manifests as a glowing sigil the appearance of which is determined by you and your GM. Those who recognize this symbol have a starting attitude toward you of one step closer to friendly (if they are followers of or scholars studying the sign) or one step closer to hostile (if they are opposed to the sign or its followers).||
Market Rat|Race|||||||||You gain a +1 trait bonus on Appraise and Knowledge (local) checks.||
Martial Manuscript|Basic|Faith||||||||You gain a +2 trait bonus on rolls to confirm critical hits when you're using an unarmed strike or monk weapon.||
Martial Performer|Basic|Combat||||||||When you gain a monk bonus feat, you may instead take a performance feat for which you meet the prerequisites.||
Martyr's Blood|Race||Aasimar|||||||As long as your current hit point total is less than half of your maximum hit points possible, you gain a +1 trait bonus on attack rolls against evil foes.||
Master of Peaks|Regional|||||||||You gain a +2 trait bonus on Fortitude saving throws made against the effects of cold dangers and altitude sickness.||
Master of Pentacles|Faction|||||||||Once per day, when casting a spell of the conjuration school, you are at +2 caster level when determining the duration of the spell.||
Master of the Sudden Strike|Race||Human|||||||When you wield a masterwork version of any sword if you act before your opponent during the surprise round, you gain a +2 trait bonus on weapon damage rolls for the surprise round only. This additional damage is precision damage.||
Masterful Demeanor|Race||Human|||||||You gain a +3 trait bonus on Intimidate checks against members of non-human humanoid races.||
Mastery of Form|Race||Skinwalker|||||||You gain a +2 trait bonus on saving throws against polymorph effects.||
Mathematical Prodigy|Basic|Magic||||||||You gain a +1 bonus on Knowledge (arcana) and Knowledge (engineering) checks, and one of these skills (your choice) is always a class skill for you.||
Mediator|Basic|Social||||||||You receive a +1 trait bonus on Diplomacy checks. In addition, you receive a +1 trait bonus to the DC of any charm or compulsion effect that does not provide ongoing control and results in peaceful acts, such as calm emotions, sleep, or a suggestion to lay down arms.||
Medic|Faction|||||||||You gain a +2 trait bonus on Heal checks made to treat diseases and poisons. Additionally, your caster level is considered one higher when casting spells of the healing subschool with remove in the spell’s name.||
Memorable|Basic|Social||||||||When you modify a creature's attitude with Diplomacy or Intimidate, the attitude change lasts 1-1/2 times longer than it otherwise would. Your spells or effects with the fear or mind-affecting descriptors that impose a penalty or bonus with a duration of at least 2 rounds, lasts 1 additional round.||
Mentored|Basic|Social||||||||Choose a single Craft, Perform, or Profession skill. You gain a +1 trait bonus on checks with that skill. You also gain a +1 trait bonus when you aid another's skill check with any skill.||
Mercenary|Basic|Social||||||||You gain a +2 trait bonus on Diplomacy, Intimidate, and Sense Motive checks made while negotiating payment for a quest or a service that you provide.||
Merchant|Basic|Social||||||||You gain a +1 trait bonus on any Appraise and Sense Motive checks you attempt while bargaining for the price of goods. Appraise is always a class skill for you.||
Merchant of Katheer|Regional|||||||||You gain a +1 trait bonus to Appraise checks, and Appraise is always a class skill for you.||
Merchant's Child|Regional|||||||||You gain a +1 trait bonus on Appraise checks, and Appraise is always a class skill for you.||
Meridian Strike|Faction|||||||||Once per day when you roll damage on a successful critical hit, reroll any 1s and take the new roll (even if it is another 1).||
Meticulous Artisan|Faction|||||||||You gain a +1 trait bonus on Craft checks.||
Meticulous Concoction|Basic|Magic||||||||Once per day, you can either add a +2 trait bonus to the save DC for one bomb you throw or extend the duration of one extract you imbibe by 2 rounds. Extracts with an instantaneous duration are not affected by this trait.||
Militant Merchant|Race||Dwarf|||||||You gain a +1 trait bonus to Perception checks made to determine surprise, and Perception is always a class skill for you.||
Militia Veteran|Regional||||||||Town or Village|Select Profession (soldier), Ride, or Survival. You gain a +2 trait bonus on that skill, and it is always a class skill for you.||
Mind Over Matter|Faction|||||||||You gain a +1 trait bonus on Will saving throws.||
Mind Trapper|Race||Dhampir|||||||You gain a +2 trait bonus on Charisma checks to convince an ally enchanted by one of your charm spells (such as charm person or charm monster) to do things it wouldn't normally do.||
Miner|Regional|||||||||You gain a +1 trait bonus on Appraise checks, and Appraise becomes a class skill for you.||
Missing Child|Campaign|Curse of the Crimson Throne||||||||Choose "sibling" or "child". If you choose "sibling" Diplomacy and Sense Motive are always class skills for you. If you choose "child" you gain a +1 trait bonus on Will saves.||
Missionary|Campaign|Legacy of Fire||||||||Pick one of the following skills: Bluff, Diplomacy, Intimidate, Knowledge (religion), Perform (any), or Sense Motive. You gain a +1 trait bonus on checks using that skill, and it is always considered a class skill for you.||
Monkey Goblin|Regional|||||||||You gain a +2 trait bonus on Acrobatics and Climb checks while climbing trees.||
Monument Scholar|Campaign|Shattered Star||||||||You gain a +1 trait bonus on Knowledge (history) checks made in your home city. This bonus increases to +2 if the check relates to that city. Additionally, you gain a +2 trait bonus on any skill check made to receive a boon from one of the cities magically imbued monuments.||
Mordant Heritage|Regional|||||||||You gain a +1 trait bonus on Swim checks and a +1 trait bonus on saving throws against enchantment effects.||
Mother's Rage|Religion|||||||Madness, monsters, nightmares||You receive a +1 trait bonus on Survival checks, and you treat your caster level as +1 higher when summoning creatures.||
Mother’s Teeth|Religion||Goblin|||||Madness, monsters, nightmares||You can make a bite attack for 1d2 points of damage as a secondary attack.||
Motherless|Race||Tiefling|||||||You gain a +2 trait bonus on Bluff and Disguise checks made for the purpose of making you seem injured, sickly, or weak in some other way.||
Mountain Guide|Regional||||||||Mountains|You gain a +1 trait bonus on Knowledge (geography) and Survival checks when in mountainous areas, and Knowledge (geography) is always a class skill for you.||
Mummy-Cursed|Campaign|Mummy's Mask||||||||You gain a +2 trait bonus on saving throws against curses and curse effects (including mummy rot and spells with the curse descriptor) and a +2 trait bonus on saving throws against a mummy's aura of despair.||
Mummy-Touched|Faction|||||||||You gain a +2 trait bonus on saving throws versus diseases and curses.||
Muscle of the Society|Basic|Combat||||||||You gain a +2 trait bonus on Strength checks made to break doors and lift portcullises, and you treat your Strength score as 2 higher for the purpose of determining your carrying capacity.||
Mutabi-qi Explorer|Regional|||||||||You gain a +1 trait bonus on Knowledge (geography) checks and Survival checks made in the desert.||
Mwangi Scholar|Campaign|Serpent's Skull||||||||You gain Polyglot as a bonus language and receive a +1 trait bonus on all Knowledge (history) checks regarding the jungle.||
Mystery Initiate|Basic|Faith||||||||Once per day, you may reroll any Knowledge skill check. You must decide to use this ability after the first roll is made but before the results are revealed. You must take the second result, even if it is worse.||
Nanite Revival|Race||Android|||||||Once per day as an immediate action, you can command your nanites to stabilize you while you are dying, even while unconscious or helpless. This does not count as a use of your nanite surge ability.||Pathfinder Player Companion: People of the Stars
Narrows Survivor|Regional|||||||||You gain a +1 trait bonus to Initiative and Sense Motive checks. Sense Motive is always a class skill for you.||
Native|Campaign|Skull & Shackles||||||||You gain a +1 trait bonus on Sense Motive checks, and Sense Motive is always a class skill for you. In addition, your familiarity with the pirate's life allows you to make untrained Knowledge (local) checks regarding pirates or the region.||
Natural Born Sailor|Campaign|Skull & Shackles||||||||You gain a +1 trait bonus on Perception and Profession (sailor) checks. In addition, once per week you can reroll a Profession (sailor) check and take the higher result (you must announce that you are using this ability before the results of the check are known).||
Natural-Born Leader|Basic|Social||||||||All cohorts, followers, or summoned creatures under your leadership gain a +1 morale bonus on Will saves to avoid mind-affecting effects. If you ever take the Leadership feat, you gain a +1 trait bonus to your Leadership score.||
Naturally Gifted|Basic|Magic|Gnome|||||||You gain an additional use of one of your gnome magic spell-like abilities each day. This does not always have to be the same spell-like ability—one day you might use dancing lights twice, only to use the additional casting for speak with animals the next day.||
Nature's Mimic|Basic|Combat||||||||You gain a +1 trait bonus on all Knowledge (nature) checks, and Knowledge (nature) is always a class skill for you. You can make Knowledge (nature) checks pertaining to animals that correspond to your style feats untrained.||
Necropolis Native|Campaign|Mummy's Mask||||||||You gain a +2 trait bonus on saving throws against fear effects. In addition, your knowledge of the city grants you a +1 trait bonus on Knowledge (local) checks, and that skill is always a class skill for you.||
Necrotic Aura|Basic|Faith|||||Group|||You gain a +1 trait bonus on saving throws against spells from the necromancy school or any effect that deals negative energy damage.||
Never Stop Shooting|Basic|Combat||||||||If your hit point total drops to 0 or lower but you are not dead, you may act as if disabled rather than dying (as if you possessed the Diehard feat). However, you can use your actions only to draw a firearm, reload a firearm, or attack with a firearm. If you have the Diehard feat, this trait also allows you to substitute your Wisdom score for your Constitution score for the purpose of determining the negative hit point total at which you die.||
Nidalese Shadowcaster|Regional|||||||||Choose one spell with the shadow descriptor—from this point on, whenever you cast this spell, its effect manifest at +1 caster level.||
Nightstall Urchin|Regional|||||||||You gain a +2 trait bonus on saving throws against fear effects, and when you do make a successful save against a fear effect, the resulting rush of bravado grants you a +1 trait bonus on attack rolls and all skill checks for the next minute.||
Nimble Fingers, Keen Mind|Religion|||||||Invention, clockwork||You gain a +1 trait bonus on Disable Device checks, and Disable Device becomes a class skill for you.||
No Escape|Basic|Combat||||||||You gain a +1 trait bonus on combat maneuver checks to lawfully and nonlethally restrain a creature you've witnessed commit a crime.||Champions of Balance
Noble Born|Campaign|Kingmaker||||||||Choose one of the following:|^You ignore the movement penalty for the first 5 feet of rocky difficult terrain you move through per round. This applies only to terrain made difficult by rocks or ruins. In addition, you gain a +2 trait bonus on Appraise checks to assess the value of natural stones or metals. Your family motto is "Strong as the Mountains."^You gain one of the following languages as a bonus language: Dwarven, Elven, Hallit, Gnome, Giant, Halfling, Skald, or Sylvan. Your family motto is "Success through Grace."^You gain a +1 trait bonus on Swim checks, and Swim is always treated as a class skill for you. Your family motto is "The Waters, Our Fields."^You gain a +2 trait bonus on all Diplomacy checks made to deal with fey creatures and a +1 trait bonus on Will saves made against their spells and supernatural abilities. Your family motto is "Endurance Overcomes All."^You gain a +1 trait bonus on your CMD. In addition, choose Acrobatics, Diplomacy, or Stealth—you gain a +1 trait bonus on this skill. Your family motto is "High Above."^You deal +2 damage when attacking a flat-footed opponent while wielding a light or one-handed weapon. Your family motto is "Ours is the Right."|
Noble Savage|Basic|Social|||||Ulfen Guard|||You gain a +2 trait bonus on Diplomacy and Perform checks when dealing with people of high social standing.||
Nomadic|Race|||||||||You gain a +1 trait bonus on Knowledge (geography) and Survival checks, and one of these skills (your choice) is always a class skill for you.||
Nonchalant Thuggery|Basic|Social||||||||You gain a +4 trait bonus on Bluff checks to keep others from noticing your aggressive actions.||
Nontraditional Native|Campaign|Shattered Star||||||||You gain either a +1 trait bonus on Knowledge (geography) checks made relating to a specific city and a +1 trait bonus on damage rolls made during the surprise round when you're wielding a bladed scarf or starknife, or you gain a +1 trait bonus on Survival checks made while in a specific city and gain a +1 trait bonus on rolls to confirm critical hits made using an earth breaker or a klar.||
Numerological Gift|Race||Dhampir|||||||When you select this trait, roll 3d6. The resulting number becomes your numerological totem and can never be changed. Once per day, when you roll your totem number on a d20 (such as an attack roll, save, or skill check), you may treat that roll as if you had rolled a natural 20 on the die.||
Numerologist|Regional|||||||||Once per day, you can attempt a Perception check while studying a trap (a standard action). The DC of this check is equal to the Disable Device DC of the trap – 5. If you succeed, you identify the DC necessary to disable the trap, as well as the DC of the Reflex save (if any) to avoid its effects.||
Oagan Diver|Regional|||||||||You gain a +1 trait bonus on Swim checks, and Swim is always a class skill for you.||
Oathbound|Basic|Faith||||||||Once per day, you may reroll a saving throw against a charm or compulsion effect. You must take the second result even if it is worse.||
Obsequious Morsel|Regional|||||||||Once per day as a swift action, you can use sanctuary as a spell-like ability (caster level = your highest caster level, or 1st if you have no caster level), with a DC equal to 10 + 1/2 your caster level (minimum 0) + your Charisma modifier. Only undead must save to attack you (other creature types are not affected). The effect ends as soon as you attack a creature, as normal.||Pathfinder Player Companion: Champions of Corruption
Observant|Faction|||||||||Choose Perception or Sense Motive. You gain a +1 trait bonus on all related checks, and the chosen skill is always a class skill for you.||
Oenopion Alchemist|Regional|||||||||You gain a +1 trait bonus on Craft (alchemy) checks.||
Offspring of the Ascension|Regional|||||||||You gain a +1 trait bonus on Will saves against fear effects. Any time you become confused, reduce the duration of the effect by a number of rounds equal to your Wisdom modifier to a minimum of 1 round of confusion).||Pathfinder Player Companion: People of the Stars
